Cereal.Name,Manufacturer,CFBAI.UNC,CFBAI.Approved,Size,Shelf,Location,Price,Serving.Size,Calories,Total.Fat,Saturated.Fat,Sodium,Potassium,Total.Carbohydrate,Dietary.Fiber,Sugar,Protein,Vitamin.A,Vitamin.C,Calcium,Iron,Vitamin.D,Vitamin.E,Thiamin,Riboflavin,Niacin,Pantothenic.Acid,Vitamin.B6,Folic.Acid,Vitamin.B12,Zinc,Magnesium,Phosphorus,Selenium,Copper,Manganese
All-Bran Buds,Kellogg's,Yes,No,17.7,4,10,5.99,30,80,1,0,210,NA,24,11,8,3,10,10,0,25,10,0,25,25,25,0,100,100,100,10,0,0,0,0,0
All-Bran Original,Kellogg's,Yes,No,18.3,4,10,6.49,31,80,1,0,80,350,23,10,6,4,10,10,10,25,10,0,25,25,25,0,100,100,100,10,25,35,0,10,0
Alpha-Bits,Post,Yes,Yes,NA,NA,NA,NA,36,140,1.5,0,160,90,29,2,12,3,0,0,10,30,0,0,60,0,10,15,10,8,0,15,0,8,0,0,0
Apple Jacks,Kellogg's,Yes,No,10.1,4,3,4.99,29,110,1,0.5,150,45,25,3,10,2,10,25,0,25,10,0,25,25,25,0,25,25,25,10,0,0,0,0,0
Basic 4,General Mills,Yes,No,16,5,6,5.29,55,200,2,1,280,170,43,5,12,4,10,0,25,25,10,0,25,25,25,0,25,25,25,25,8,10,0,0,0
Blueberry Chex,General Mills,Yes,No,12,4,7,5.29,30,130,2.5,0,190,45,24,1,6,1,10,10,10,50,10,0,25,25,25,0,25,50,25,25,2,4,0,0,0
Boo Berry,General Mills,Yes,No,NA,NA,NA,NA,33,130,1.5,0,150,50,28,1,9,2,10,10,10,25,10,0,25,25,25,0,25,25,25,25,0,6,0,0,0
Bran Flakes,Post,Yes,No,NA,NA,NA,NA,36,110,1,0,190,210,29,7,7,4,40,0,0,50,10,0,60,45,35,8,40,90,90,25,20,0,0,20,0
Cap'n Crunch,Quaker,Yes,NA,14,2,1,5.19,27,110,1.5,1,210,50,23,0,12,1,0,0,0,25,0,0,25,25,25,0,25,100,0,25,0,0,0,0,0
Cheerios,General Mills,Yes,Yes,12,4,5,4.99,28,100,2,0.5,140,180,20,3,1,3,10,10,10,45,10,0,25,2,25,0,25,50,25,25,8,10,0,0,0
Cheerios Oat Crunch,General Mills,No,No,15.2,2,6,4.99,51,200,4.5,0.5,220,140,40,4,14,3,8,6,8,80,8,0,80,80,80,70,80,80,80,80,6,10,0,0,0
Chips Ahoy Cereal,Post,Yes,No,12,5,2,4.79,29,120,2,0,120,35,24,0,11,1,0,0,6,20,0,0,40,2,6,6,6,4,0,6,0,0,0,0,0
Chocolate Chex,General Mills,Yes,No,12.8,4,6,5.29,32,130,2.5,0.5,200,60,26,1,8,2,10,10,10,45,10,0,25,25,25,0,25,50,25,25,2,4,0,0,0
Chocolate Frosted Flakes,Kellogg's,Yes,Yes,13.2,4,1,4.99,29,110,1,0.5,160,60,25,0,10,2,10,10,0,25,10,0,25,25,25,0,25,25,25,0,0,0,0,0,0
Cinnamon Chex,General Mills,Yes,No,12.1,4,7,5.29,30,120,2.5,0,180,40,24,1,6,1,15,10,10,45,10,0,25,25,25,0,25,50,25,25,2,4,0,0,0
Cinnamon Frosted Flakes,Kellogg's,Yes,Yes,13.6,4,1,4.99,29,110,0,0,150,30,26,0,10,1,10,10,0,25,10,0,25,25,25,0,25,25,25,0,0,0,0,0,0
Cinnamon Toast Crunch,General Mills,Yes,Yes,12,3,2,4.99,31,130,3,0.5,180,55,25,2,9,1,10,10,10,25,10,0,25,25,25,0,25,25,25,25,4,6,0,2,0
Cocoa Krispies,Kellogg's,Yes,No,15.5,2,3,4.99,31,120,1,0.5,120,55,27,0,12,1,25,25,0,25,15,25,15,15,15,0,15,25,25,0,0,0,0,0,0
Cocoa Pebbles,Post,Yes,Yes,11,4,2,4.49,29,120,1,1,170,45,25,0,10,1,15,0,0,10,20,0,25,25,25,0,25,25,25,10,0,0,0,0,0
Cocoa Puffs,General Mills,Yes,Yes,11.8,3,4,4.79,27,100,1.5,0,100,85,23,1,9,1,10,10,10,25,10,0,25,25,25,0,25,25,25,25,4,6,0,2,0
Cookie Crisp,General Mills,Yes,Yes,11.25,2,3,4.99,36,140,1.5,0,150,0,31,2,12,2,10,10,10,20,10,0,20,10,10,0,20,20,20,20,4,6,0,0,0
Corn Chex,General Mills,Yes,No,12,2,6,5.29,31,120,0.5,0,220,60,26,2,3,2,10,10,10,45,10,0,25,25,25,0,25,50,25,25,2,4,0,0,0
Corn Flakes,Kellogg's,Yes,No,12,1,8,4.29,28,100,0,0,200,45,24,1,3,2,10,10,0,45,10,0,25,25,25,0,25,25,25,0,0,0,0,0,0
Corn Pops,Kellogg's,Yes,No,10,4,2,4.99,40,150,0,0,140,40,36,0,12,2,0,0,0,25,10,0,20,20,0,0,20,20,20,0,0,0,0,0,0
Count Chocula,General Mills,Yes,No,NA,NA,NA,NA,27,100,1.5,0,130,55,23,1,9,1,10,10,10,25,10,0,25,25,25,0,25,25,25,25,2,6,0,2,0
Cracklin' Oat Bran,Kellogg's,No,No,17,4,10,5.99,56,230,8,3.5,65,210,41,7,16,4,0,0,0,25,15,0,20,20,20,0,20,20,20,0,0,0,0,0,0
Crispix,Kellogg's,Yes,No,12,4,7,5.29,39,150,0,0,250,20,34,0,5,3,0,0,0,60,15,0,30,30,30,0,30,50,30,0,0,0,0,0,0
Crunch Berries,Quaker,Yes,NA,13,2,1,5.19,26,100,1.5,0.5,190,50,22,0,11,1,0,0,0,25,0,0,25,25,25,0,25,100,0,25,0,0,0,0,0
Fiber One,General Mills,Yes,No,16.2,5,6,5.79,30,60,1,0,110,110,25,14,0,2,0,10,10,25,0,0,25,25,25,0,25,25,25,25,4,6,0,0,0
Franken Berry,General Mills,Yes,No,NA,NA,NA,NA,33,130,1.5,0,150,50,28,1,9,2,10,10,10,25,10,0,25,25,25,0,25,25,25,25,0,6,0,0,0
French Toast Crunch,General Mills,Yes,No,11.6,4,2,4.99,28,110,2,0,140,45,24,1,9,1,10,10,10,25,10,0,25,25,25,0,25,25,25,25,2,2,0,0,0
Froot Loops,Kellogg's,Yes,Yes,10.1,4,1,4.99,29,110,1,0.5,150,45,25,3,10,2,10,25,0,25,10,0,25,25,25,0,25,25,25,10,0,0,0,0,0
Frosted Flakes,Kellogg's,Yes,Yes,13.5,2,1,4.99,29,110,0,0,150,35,26,0,10,1,10,10,0,25,10,0,25,25,25,0,25,25,25,0,0,0,0,0,0
Frosted Mini-Wheats Blueberry,Kellogg's,No,No,15.5,4,8,5.29,60,210,1,0,10,210,51,6,13,5,0,0,0,100,0,0,10,0,10,0,0,100,0,10,10,10,0,0,0
Frosted Mini-Wheats Little Bites Chocolate,Kellogg's,Yes,No,15.2,5,8,5.29,56,200,2,1,220,270,45,6,12,5,0,0,0,100,0,0,10,0,10,0,0,100,0,10,10,10,0,0,0
Frosted Mini-Wheats Little Bites Original,Kellogg's,Yes,No,15.2,5,9,5.29,56,190,1,0,10,200,47,6,11,5,0,0,0,100,0,0,10,0,10,0,0,100,0,10,10,10,0,0,0
Frosted Mini-Wheats Original,Kellogg's,Yes,No,18,3,8,5.29,60,210,1.5,0,10,160,51,6,12,5,0,0,0,100,0,0,10,0,10,0,0,100,0,10,10,10,0,0,0
Frosted Mini-Wheats Strawberry,Kellogg's,No,No,15.5,4,8,5.29,60,210,1,0,10,200,51,6,13,5,0,0,0,100,0,0,10,0,10,0,0,100,0,10,10,10,0,0,0
